text,star
문화의 날 저렴하게라도 봐서 정말 다행... ㅠㅠ 솔직히 5천원도 아깝게 느껴짐,0
개꿀잼 개꿀잼 개꿀잼ㅋ,1
웃음이 계속나는 영화. 재밌습니다,1
영화 아주 재밌어요 굿GOOD,1
오늘 봤는데 너무 재밌게 봤다 설연휴 영화 덕분에 재밌게 하루 보냈네요,1
개연성없는 ㅠㅠㅠㅠ 편집을 잘못한건지.. 영화자체를 이렇게 만든건지..ㅠㅠ,0
남친이랑 보고왔는데 처음부터 끝가지 빵터졌음.대사 하나하나 어쩜그리 찰진지~배우분들 조합들이 다 좋았는데 특히 진선규님이 제일 기억에 남았음류승룡님은 두말할것 없이 최고였고,1
재밌네 꽤나 볼만합니다,1
너무 기대하고 봐서 그런가... 다들 평점이 좋네.. 솔직히 막판만 재밌었음,0
아무생각 없이 보기에 딱인 영화,1
넘 재밌어서 평점 남겨요 두말할거 없어요 안보신분 꼭보세요  강력추천 ^^,1
한국형 액션 코믹 감동... 싹 다 센스있게 잡은 영화,1
류승룡 파트 말고는 한번도 안웃었다,1
싸움 장면 너무 길이가 많음,1
멜로씬만 없었어도 이렇게까지 까이진 안았을텐데 ㅜㅡㅜ,1
2019년 최고의 거품 영화가 될듯 평점 알바가 있나 의심이 될정도로 평점이 너무 높다 그냥 그저그런 코미디영화 수준,0
초반에 좀 유치한데 재밌었네요...대박정도는 아니고 볼만해요,1
다들연기 굳이에요!!!,1
재밌게 잘 봤습니다 진짜 영화 보는데 이렇게 웃긴적은 처음이네요,1
보지마셈 시간 돈 아까움,0
와 왜 만들었는지 이해안됨 내 시간 다 버림ㅅㅂ,0
♥?♥?♥?♥?♥?♥?♥?♥?♥?♥?,1
많이 웃었습니다. 잘봤어요.,1
리얼 핵노잼!  내용도 모르겠고..  평이 않좋아 기대안하고 봤는데도 지루하네요 ..ㅠ,0
뻘하게 웃긴거 좋아하면 계속 웃을수 있다! 씨지 이상하게 한 장면 나오긴 해서 거기서 좀 집중력 끊기는데 그거 빼곤 다 훌륭,1
엄청 웃고 나왔네요~^^!,1
웃고 사이다재미보장 빠밤,1
"크게 웃고, 계속 웃었다 ㅋ 이병헌 감독의 영화는 본질에만 집중하고 군더더기가 없어서 참 좋다! 유승룡 코믹 연기 최고였고, 신하균의 연기는 정말 멋있었다 :) 무조건 만점!!",1
웃다가 나오시면 됩니다,1
개꿀잼 꼭보세요 쏴쏴쏴,1
입덧 토덧 힘들어서 웃고싶어서 봤는데..보는 내내 입덧 사라짐 대박,1
시작부터 끝까지 빵빵 웃었습니다! 강력반 배우님들 정말 최고였고요 특히 진선규 배우님이 이렇게 코믹 연기를 잘 소화하실지 몰랐습니다! 얼마나 재밌고 유쾌하냐면요 제가 지금까지 평점 남긴적이 없었는데 이건 모두 꼭 봐야하기 때문에 남깁니다!꼭 보세요!,1
존잼이었다간만에 웃으면서 본영화였다.ㅋ,1
끝까지 하나도안지루하고 시간가는줄 모르고 봤어요 진짜재밌고 제주변에도 추천할 생각이에요 후회없슴당ㅋㅋㅋ,1
좋았습니다.좋았습니다.,1
재밌게 웃으면서 잘봤네요이하늬 개이쁨 진짜 ㅋㅋㅋ 사랑한다  이하늬,1
웃고 잼 있게 봤네요ㅎㅎㅎㅎ,1
진짜 뻥안치고 예고편이 다였다. 다행히 kt초이스로 공짜로봐서 천만 다행,0
여자친구랑 보러가서 입이 조커가 된줄 알앗음개잼,1
1000만이라는 수가 괜히 나오는게 아니다 싶은 영화였습니다 대체로 만족스러웠습니다.,1
연기도 좋고 재미있네요!,1
예측 가능한 웃음이지만 대사가 불규칙이어서 너무 웃김...넘 잼나고 편안한 영화..,1
류승룡은 웃겼는데 나머지 분들은 너무 억지로 웃기려고하는느낌을 받아서 그다지 ..내용은 좀 신박했어요,1
재미는 잘... 졸렸어요,0
재미있게 잘만든 영화. 나름의 액션신에 타격감도 있어서 좋았어요! 가족영화로 딱 좋습니다!,1
정말재미있고웃긴영화,1
진짜 급똥인데 똥 참으면러까지 뷰ㅏㅆ음 ㅠㅠㅠㅠ 존잼,1
진선규 개웃김ㅋㅋㅋㅋ,1
좋았어요 ㅎㅎ나쁘지않았음,1
감성이 메말랐나봅니다..몇번졸다 나왔네요; 영화는 흥행할듯합니다.ㅎ,1
개꿀잼 진짜 간만에 대박코메디 영화나온듯,1
너무기대한걸까요ㅜㅜ장모님은 시작부터 끝날때까지 웃다가나오셧단든데ㅜㅜ 저랑은 개그코드가 안맞앗던걸까요ㅜㅜ한번도 웃을수가 없었네요 ~~너무억지스럽게 웃길려해서ㅜㅜ,0
중간부터 시계만보았습니다.,0
많이보면 한국영화계 망하는영화,0
정말재밌어요 꼭보세요진짜,1
이게 영화가 아니고 치킨집 체인점 광고였다면 더 많은 돈을 벌었을 것이다,1
걍 아무생각없이 웃기좋아요,1
10살 쌍둥이와 같이봤는데..보는내내 잼있어하네요,1
갓선규 빛선규 짱이다 진짜,1
그냥 처음부터 끝까지 웃겨요 아무 생각없이 볼수 있습니다 억지 감동도 없음,1
"처음부터 끝까지, 너털웃음부터 박장대소까지~ 유쾌하게 실컷 웃었어요. 보고나서도 개운하니 제값주고 잘 본 느낌! 기분좋습니다^^",1
"달콤한 인생의 내용과배우들의 완벽한 연기 격한연출력이 그리웠음영화를 홍보하고 노력한걸 알리는 자리인 무대인사강동원님은 성의없었고, 한효주님은 그냥 잠시 커피한잔마시러온것같음의 인사 김무열배우님의 팬은 아니였으나 관객에 대한 성의있는 홍보모습에 호감상승",0
배우들 외모 빼면 볼게 없음 지루하고 로맨스에 액션은 무슨.. 어떻게하면 이 배우들로 이렇게 찍지,0
평점 알바 그만해라 양심도 없냐... 이게 영화냐? 보는내내 돈아까웠다. 무슨 얘긴지 하나도 모르겠고 남주 여주는 왜 저러는지 이해도 안되고 특히 여주,0
두시간  내내  웃었어요^^   오랜만에   정말  재미있는  영화봤습니다.,1
재밌네.  킬링타임용으로 굿.  치킨집 이용 약배달은 브레이킹배드 오마쥬인가?,1
좌편향적인 영화의 홍수속에 지쳐있던 마음의 정화.,1
ㅋㅋ 내친구가 평점 알바들도 커버못친 동양 로보캅이라던데ㅋㅋ톰아저씨 덕에 아슬아슬 피했다ㅋㅋㅋㅋ,0
아무 생각없이 웃으면 됨,1
진짜 출현진 꿀조합이였고 진짜 진선규님 연기가 차분하게 개웃겨요ㅋㅋ요즘우울했는데 웃음처방전 확실하게 받았습니다!한번더볼꺼에요,1
진짜 아무생각없이 웃다왔어요,1
지금까지 이런 맛은 없었다 갈비인가? 통닭인가? 네 수원 왕갈비 통닭입니다,1
뒤에 앉으신 분 웃음소리 듣고 더 웃게 됨ㅋㅋㅋㅋ,1
나만보기 아깝다~감동도없고 재미도없고~ 강동원만 개고생한듯~~,0
0점주고싶은게 아쉽다,0
아무 생각없이 재밌게 즐기다 올 수 있어서 좋았어요 불편한 요소도 없었고요~,1
차라리 신파가 낫겠다.,0
정치색을  떠나서 그냥 재미가 없더라...,0
으이구 돈 아깝다 진심이다,0
"적당한 액션, 코믹은 많이, 타이밍 좋게 터진 마약사건에 대한 관심도 증가 그리고 연출의 승리",1
악마를 보았다 ㄷㄷㄷ 제목을 바꾸자,0
개노잼에다 억지 웃음 스토리도 구려,0
극한직업 재미지네요 수원왕갈비치킨먹고싶네요....,1
와 이게 재밌다고???? 진심 소름돋는다...,0
솔직히 앞뒤부분은 한국영화 어디서나 볼수있는 오프닝 엔딩이였고 중간에 치킨집에서 일할때가 젤 재밌었음,1
처음부터 끝까지 소리내며 엄청 웃으며 봤어요 오랜만에 이런 유쾌한 영화를 보게되어 즐거웠습니다,1
그냥 그래요...아쉽습니다,0
존잼 흐름도 좋고 진선규님 연기너무잘함,1
한번봐 ~두번봐 그냥 웃겨요  웃음으로 스트레스 날려 줘요 마지막 엔딩음악  너무 잘 어울려요,1
대실망입니다. 강동원 믿고갔는데 스토리가 영~~~남북통일jQuery22406998721133973111_1532691341000?,0
간만에 엄청 웃었음 ㅎㅎ 가족끼리 보기 좋은 영화,1
이 영화 꼭 추천합니다  너무 재밌게 봤습니다,1
너무재밌었어요!! 여자친구랑 한참 웃으며 봤네요,1
시원하게 웃을 수 있었습니다,1
ㅋㅋㅋ친구랑 같이보기 편하고 잼슴 누군가랑 같이보는게 더 잼냠,1
끊임없이 재미있었다네요,1
신나게 웃고 즐길 수 있었다,1
맨날 억지감동에 착한척하는 영화만 나오다가 간만에 우쾌하고 재미있는 영화라서 보기 좋았습니다,1
정말정말재밌게봤어요,1
요 근래 들어 가장 아무 생각없이 보면서 웃을 수 있는 영화.,1
영화보는 내내 웃음이 끊이지가 않더라,1
뻥하고 웃고싶을때 볼만한영화,1
애니메이션보다 더 아름다운 배우들을 본 것에 만족 함. 그런데 죄다 사격을 왜 이리 못함? 총알 낭비 ㄷㄷㄷ,0
웃다 나와요많이 잔인하지도 폭력적이지도 않아요,1
정우성씨 예맨난민 출연 안해서 안볼꺼임 ㅋㅋㅋㅋ멋지죠 ㅋㅋ,0
간만에 극장에서 시원하게 웃어봤습니다~ㅎ,1
생각했던것보다 내용이 내머리속에 정리가 되어야 하는데‥이건 싸움만 하다 끝나는것 같네요,1
솔직히 평점 뻥튀기 오지네,1
대박 19년 이천만 영화,1
웃겨요 별생각없이보면 좋아요 말모이보다 재밌음지금까지 이런맛은 없었다 이것은 갈비인가 통닭인가 ~,1
오늘 영화 봤는데 재밌었어요 왜 이렇게까지 평이 안좋은지 모르겠는데 재밌는 부분도 부족한 부분도 있지만 킬링타임용으로 괜찮습니다^^,1
배우들 연기도 너무 잘 하셨고 스토리도 잼 ㅋㅋ처음부터 끝까지 너무 재밌게 봤어요간만에 웃으면서 본 영화에요,1
진짜 지루하지않고 재미잇는 영화였습니다!!^^,1
그닥....  주위에서 별로라고 추천하지않아도 강동원 정우성 땜시 본 영화딱 그 정도,1
"기발한 시츄에이션은 호, 뻔한 전개는 불호",1
그냥 조오오오온나 웃겨디짐ㅋㅋㅋㅋ 진선규 짱,1
지금까지 이런 맛은 없었다,1
이영화는 1점도 아깝다,0
강동원이 그만이라외칠때 정말 그만했으면...,0
저희 어머니 아버지 사이 정말 안좋습니다 설날때 어머니 화나셔서 처음으로 집도 나가고 서로 맞대고 웃는 걸 본적이없는데 오늘 인생 처음으로 서로 영화를 보고 웃었다네요 저희 가정에 봄을 가져다 주어서 감사드립니다..,1
너무너무 재미있어서 배꼽이 도망간줄~,1
공황장애를 잊게해준 내 인생의 영화,1
재밌네요^^ 즐겁게봤어요,1
현실성이 너무없음다른건 좋음,0
생각없이 보기 좋아요!재밌어요!,1
쏴... 쏘라고...,1
초반에 러닝타임이 지루해서 망했구나하고 뒷 내용도 별 기대없이 봤는데 중간 넘어서부터 빵빵터지고 흥미롭게 봤네요! 배우분들 모두 센스있는 모습 너무 매력적이었습니다. 별 생각없이 웃음주는 영화로 추천하고 싶네요.,1
"스포하고 싶은데 스포할게 없다,,,,베그 한 판 직관한듯한 영화ㅜ",0
이랏샤이마세 진짜 미쳤나ㅋㅋㅋ,1
간만에 실컷 웃었네~~,1
완전 대박이었어요 정말 신나게웃고왔습니다,1
벌레 ! ㅋㅋㅋㅋ 이부분 진짜 ㅋㅋㅋ,1
안 본 사람이 진정한 승리자,0
연기도 너무 잘하시고 웃음 포인트가 너무 마음에 들었어요 재밋게 봣어요,1
소소하게 웃기네요 크게는 아니고요,1
개잼꿀잼핵잼졸잼대유잼,1
진짴ㅋㅋ이건ㅋㅋㅋ진짴ㅋㅋ,1
이영화를 참고 보는게 극한직업..네이버평점믿고 보지들 마세요  평점쓸때 실명과 얼굴사진 같이 등록됫음 좋겠다..에휴알바들,0
강동원이 잘생겨서 별세개 줫어요..내용이고 나발이고 그냥 그생각밖에 없었어요..,1
졸 재밌음. 처음부터 끝까지 지루하지도 않고,1
그냥 생각없이 보기에 최고입니다~~,1
올만에 예쁜 쓰레기를 본 느낌,0
정우성은 몇년째인데 연기자체가 안 느냐jQuery22407585616139757574_1532765389823 몰입불가 캐릭터 맨날 똑같고,0
재미있게 잘봤어요더운날씨에촬영하시느라고생많이하셨습니다,1
아이돌 발연기를 내가 돈주고 봐야겠어? 1점 먹어라,0
재밌었는데.. 평점 왜 이러니.. ;,1
연기는 다들 좋았구여 뻔한데 웃겻어요,1
기대만 컸고 한국영화에서 살려내기 너무 어려운 소재였다..,0
ㅎㅎㅎㅎ잼잇다ㅎㅎㅎ,1
고라니 한 등장부터 관객들은 전율했다.,0
처음부터 끝까지 지루할틈이 없이 웃기고 재밌는 영화,1
다른건 중요하지 않았고 그냥 웃겨서 좋은영화,1
재밌어요ㅎㅎㅎ부담없이 기분전환으로 재밌게보기 좋아요!! 다들실력파배우라그런지 런타임내내 거슬리는부분없이 재밌게봤습니다,1
꽁짜로 봤는데도 레알 시간낭비.. 제발 이영화 믿고 거르세요.. 꽁짜로풀려도 보지마세요ㅜ개망작 별점2점도 아까움,0
와 다찌마와리 이후 역대급이였다 ㅡㅡ강동원 액션이 별반개살렸다,0
우와~~~진정  잼나네요  급체가  쏵  내려가는  느낌입니다  ㅎㅎ,1
원래 영화 잘 안보는데 처음으로 혼자 영화보러 감. 인랑이라서.. 애니 인랑인줄 알고 정말 사전 정보 없이 봤음. 그 무지함이 나에게 교훈을 주어서 1점 준다. 공각 기동대 때 정신 차렸어야 했는데...,0
배우들은 연기는 좋았으나.... (태민제외) 시나리오 자체가 문제 인듯뜬금 없는 내용  2시간 동안 5번이상은 고개를 갸우뚱하게 만드는 내용들이 보는 내내 조금 불편했다 그냥 집에서 무료로 보기 적당한영화,0
이정도면 평작정도는 되는데 왜이리 악평이 많은지;; 액션은 말할것도 없고 강동원은 잘생긴게 연기도 잘하고 눈빛도 좋고;; 정우성도 이 영화에서만큼은 연기좋았다 남주와 여주의 대화씬은 오글거렸지만 강동원의 멋진모습과 스타일리쉬한 액션씬만 해도 볼만하다,1
너무 잼있어요 2시간동안 계속 눈물 흘리며 웃었어요 웃는데 눈치볼 필요없어요 다 같이 웃으니깐요,1
꿀잠zz 어디서웃어야하나,0
처음부터 끝까지 실망없는 영화,1
1500만 가자!!!!개꿀잼ㅎㅎ코미디 영화 역사를 다시 쓸거라 믿어 의심치 않는다,1
아무생각없이 웃을 수 있는 영화였습니다. 뻔하다고 하면 뻔하지만.. 저에게는 포인트가 신박하게 느껴진 영화였어요,1
아주 잼있게 잘 봤습니다,1
코미디영화 억지웃음이라 재미없어하는데이건 누구나 재밌게 볼수있는 영화예요너무너무 재밌었어요 짱짱ㅋ,1
김지운에게 처음으로 실망한 영화...ㅠ,0
명절에 보기 좋은 재미난 영화ㅋㅋㅋ 연기를 너무 잘해서 더 좋았어요^^*,1
스물 감독인줄 진작에 알았으면 안봤을텐데..,0
대중은 개돼지다 라는 말이 진짜네,0
볼만한 코미디 드라마...But 700만명을 돌파할정도라니...,1
진짜재밋음ㅋㅋ보는내내웃엇음,1
2시간 내내 웃었어용 아직도 웃김ㅋㅋ,1
진짜 재밋었음... 류승룡 코믹연기 찰지다..,1
"아… 기대하고 개봉 첫날 예매해서 봤는데,, 루즈한 전개에 스토리도 엉망이고,, 옆자리는 아예 잠을 자고 있더군요,, 너무 실망,, 김지운 감독님 좋아했는데 너무 아쉬운 영화네요,,ㅜㅜ",0
굿입니다요 웃깁니다요,1
누구하나 부족함 없는 연기와 재미있는 내용까지~~ 극장에서 계속 웃다 나왔네여~~ 한국 영화도 쿠키영상 있었으면 좋겠어요~~ 혹시 나오려나 해서 계속 기다리게 되는 영화였네여~~ㅎㅎㅎ,1
악마를 보았다 감독이랑 동일 인물 맞죠?,0
재밌었어요배우들 전부 멋졌습니다,1
너무 재미있어요 시간가는줄 모르고 봤네요 한번 더 보고 싶네요!!!,1
강동원 한효주 정우성으로 이런 쓰레기같은 영화 만들기도 어려울텐데..,0
난 너무 재밌었는데ㅠㅠ,1
무겁지 않아서 부담없이 웃으면서 볼 수 있어서 좋았다.,1
"마지막에 치고받는 액션씬이 조금 길어 지루했고, 나머지는 무난무난하게 편하게  웃으며 볼 수 있는 영화입니다!!",1
보는사람마다 관점이다른거같다~난재미나게보고나왔는데,1
진짜 끊임없이 웃음을 터트리게 만든다,1
부담없이 진짜 재밌었고 연기자들 모두 개성있는 연기 넘 좋았어요,1
2시간 순삭입니다꼭 보세요 너무 웃겨서 얼굴아파요,1
"성냥 팔이 소녀의 재림2라고 해도, 되겠다",0
Good재밋어요ㅎㅎ완전,1
아무 생각없이 웃고 볼수 있는 영화네요. 단순 재미로는 1등. 확실한 오락영화.,1
자연스러운 역설적 대화로 재미를 더하고 배우들의  완숙한 연기가 작품의 완성도를 높이는 멋진 코믹물입니다. ^^,1
코믹영화 유승룡 진선규 잼있다 특히 치킨집 에피소드는 웃기다 하지만 초반과 중반 억지로 웃음을 강요하는 느낌을 지울수가 없음 남들은 웃지만 난 하나도 안웃긴 장면이 한둘이 아니었음.. 뭐가 이리 꼬였냐고 하겠지만 그렇게 느껴짐,0
"유쾌, 통쾌한 웃음에 초점을 제대로 저격한 코미디 영화.",1
존잼 꿀잼!!!꼭보셈,1
말해봐요... 저한테 왜 그랬어요?,0
인랑어떤가요? 완전 재밌음?,1
재미있으면 추천 노잼이면 비추천,0
아 이건 진짜 웃기다고 주위에서 소리 듣고 봐도 재밌네요,1
지금까지 이런 영화는 없었다. 이것은 연기인가 실제인가,1
김지운 감독에게 대...실망...심해도 이건 너무 심한 느낌..,0
평점이 왜 이렇게 높은건지 도저히 이해할 수가 없네 ㅋㅋㅋ억지웃음 끌어내려니 전개자체가 너무 산만하고 심지어 웃기지도 않음 보는 내내 안쓰럽기만 함 그리고 무엇보다 시간이 너무 아깝다 설날특선영화로 TV에서 방영해줘도 안 볼 듯,0
재밋네요 잘봣습니다^^,1
머리털 나고 처음으로 영화 보다가 인낭~,0
예고편도 안봐서 잘 모르고 봤어요. 신랑이 보고싶어해서. 형사님들 수고 많으시네요. 영화는 재미있게 봤습니다.,1
이거보다 더엉망인 영화 수두룩한데 액션영화에 개연성찾는 인간들은 초보자아니냐?,1
나만 당할 수 없다!!!!,1
"기대안하고 봤는데, 2시간이 전혀 지겹지가 않네요!!  제가 평점10점짜리는 알바인가해서 안봐서 9점 줍니다!!  류승룡, 이하늬, 이동휘, 진선규, 공명, 신하균까지~~  연기의 신들입니다!  오랜만에  재밌는 영화봤습니다!! ^^*",1
"영화평 알바가 많다는 것을 이번에 보면서 알았음. 중간에 엄청 엄청 지루하고 개그코드가 너무 진부함. 다른 댓글에 박장대소한다고 적혀있던데, 전혀 그렇지 않고 그냥 피식하는 정도의 개그가 몇개 있는 정도",0
왜 러브스토리나 찍고 앉았는지 한-심. 캐릭터도 인랑(늑대인간)은 커녕 그냥 찐따들이고... 강동원&정우성... 원래 연기력 좋은 배우들은 아니었지만 여기선 많이 안 좋음,0
뻔한데 웃기고 안뻔해서 웃김. 두번보면 더 재미있을 영화,1
넘 잼남 . 대박입니다. 가즈아,1
누가 멜로찍으래? ㅡㅡ,0
‘재기발랄한 대사’에 대한 강박...’자 이래도 안웃을래’ 마음 먹고 만드는 영화를 보며 가끔 웃긴 하지만...그게 대부분이 실소이고...안쓰러운 영화...뭐 어차피 명절용으로 풀었을테니 큰 기대는 하지 않았어요..,0
큰기대하지말고 편하게 보면 편하게 웃을수있는영화! 특히 억지눈물짜게하는 부분이 없어서 더 좋았음.. 처음부터 끝까지 기분좋게 볼수있어서 넘 좋았음 대박나라!,1
진짜 꼭 봐요 ㅜㅠㅠ 완전 꿀잼 웃다가 울었어여ㅠㅠㅠㅠ,1
기대안하시고 보면 재밌습니다주말에 시간때우기정도 약간유치함,1
다시봐도 너무 재밌었어요!,1
코미디는 교훈이 없어야 재밌는것 같아요:) 부모님도 남자친구도 모두가 후회없는 영화 선택이었다고 말하네요~,1
원작까지 싫어집디다.,0
믿고 거르는 강동원 보지마라 진심,0
평점 첨 쓰고싶은 맘 생겼음,1
연휴에 가족과 잘 봤습니다. 중후반부터가 웃기고 잼났어요,1
입소문 듣고 봤는데 싼욕이 너무 난무해 민망해서 재미는 커녕 애들하고 보는게 가시방석 같고...유머는 예고에 나온게 다 였음. 개그코드가 그냥 저냥 2000년대식 코미디라고 해야 하나...무튼 웃고 싶어서 봤는데 많이 못웃어서 아쉽네요.,1
너무 기대하구 봣나보다ㅋ그저 그렇다ㅎㅎ,0
처음부터 끝까지웃으며 봤던영화네요^^강력 추천합니다~,1
웃다가 심장이 아팠어요 옆에 50대 아저씨랑 같이 심장 잡고 웃었어요. 나올때 너무 웃어서 목이 아파요 ㅋㅋㅋ,1
한효주라서 안보겠습니다,0
첨부터 끝날때까지 배꼽잡으면서 봄ㅋㅋ강추함ㅋㅋㅋ,1
류승룡은 이렇게 가야죠 ㅎㅎ 핵굿꿀잼 연기모두 굿,1
나 영화 되게 좋았는데 괜히 배우들 좌빨이니 뭐니 정치적인 문제로 평점 테러하는거같네ㅋㅋ 애니 알고 봤는데도 정말 재밌었고 한국에 맞게 잘만들었다.. 이것저것 태클걸지말고 작품을 봐라 이것들아 유치한것들아,1
진짜 생각없이 친구 호출로 보게된건데 개봉하는건 알고있었지만 오늘인줄도 몰랐고 하 진짜 귀찮다고안하고 냅다 나가길 잘했다고 생각함케미쩔어 진짜 마형사가 이런캐릭터 소화잘할줄몰랐는데 대박 말이 필요없음 또봐야지 흥해라 흥,1
강동원- 조용히해 (발연기),0
진짜 재밌어요 꼭 보세요!원래 영화보고 이렇게 평점 같은 거 안남기는 데 이건 너무 재밌어서 보고 난 뒤로 쿠키영상 같은 거 찾아보고 평점 남겨요 ㅋㅋㅋ!!! 어제 봤는데 진짜 한 번 더 보고 싶어요 진심 너무 재밌어!!!! 완전 추천합니다,1
완전 강추!!! 주연배우들 한명한명 다 재밌고 개성있고 깜짝출연에 신하균도 짱이였음ㅋㅋ정말 영화티켓값이 하나도 아깝지 않을 만큼 정말 짱 이였음ㅋㅋ,1
꿀잼입니다 빨리보시길,1
재미잇까하고 걍 봣는데  졸라 재밋더라,1
"인랑은 애정결핍, 내뒤에 혼자온 여자 보다가 중간에 집에감....",0
이하늬/진선규가 이영화 살렸다고 본다. 특히 진선규는 얼굴이 조금만 평범했어도 제2의송걍호가 될듯 한데. 잘 살려보시구료 본인의 장점을. 이하늬 키스 굿.,0
클레멘타인에 버금가는 인생영화. 이 영화의 독자적인 퀄리티는 감히 인생의 전환점을 맞이하게 해준다. 꼭 보시길,1
눈물이 몇번 났는지 모르겠네요. 간만에 엄청 웃었습니다.,1
관람 전 주변에서 하고 재밌다길래 너무 기대함...관람 후 기대에는 못미치나 재미는 있었음,1
소문난 잔치 먹을게 없는 영화  이게 천만 넘어볼 영화는 아닌듯스크린 독점 덕을본 영화~~~,1
그렇게 까일 영화가 아니든데...잼있게 봤어요.,1
헛웃음 정도? 그냥 다 아시는 한국 형사깡패영화 중타정도입니다. 뻔한 웃음포인트.왜 이정도밖에 못만드는걸까요,0
가족들이보고 권유해서 혼자서 보게 되었다형사라는직업이 극한직업이라고는 생각을 안했는데 현실적묘사에서 극한직업이 느껴쪘다주인공들의 열연이 좋았고 특히 여형사 짱!!재미는 있는데 내용이 약간 탄탄하지 못했다고 생각됨.,1
롯데시네마 노원6시 40분 방금 보고 나옴류승룡 팬 됨유치하지 않은 코믹!!강추!,1
ㅇ제가요..정말..이런거 안쓰거든요jQuery22404977051469910122_1532702531073꽁짜표로 봣는데도 아까운 영화에요.아니 어떻게 이런 잡영화를 만들다니 아니정말 어이없네?강동원보러가시는분들..혹시 엘티이워프 광고를 아시나요.워프아저씨만 잔뜩보고오,0
그냥 정말 아무 생각 없이 보기에 좋아요이하늬 액션 연기는 너무 보기 민망했어요나머진 다 연기 잘하구 재밌네요 특히 갱단 두목들이 촐싹대는거 넘 웃기도 이동휘 액션 짱. 류승룡 코믹연기 잼써요,1
"1점 줄거 액션땜에 3점올림. 신과함께1,2도 못피하고 인랑도 못피했다. 차라리 신파를 넣지 그랬소 김지운감독. 그랬다면 신과함께 스코어 반은 따라갔을텐데.",0
다들 너무 연기를잘해서 계속웃었네요ㅋㅋ,1
쵝오 간만에 너무 행복하고 아무 걱정없이 즐거웠어요~^^,1
감독의 유머코드 너무 좋닼ㅋㅋㅋ,1
웃으면서 즐겁게 보았습니다.,1
재밌어요 오랜만에 코미디영화 보는데 생각외로 너무 재밌어서 보기잘한것같아요!!,1
간만에 생각없이 웃을수 있었던 영화 최고에요,1
소문대로 재밌어요...푹 빠져봤습니다..억지 웃음없이 레알 꿀쨈~~^^,1
"평점에 낚였습니다!!!!후반부에 이동휘씨가 테이프 묶는 장면, 류승룡씨가 배 위에서 갑자기 나타나는 장면 딱 두 번 웃고 나왔습니다.",0
댓글알바 열일하는거같다ㅋㅋㅋ 손익분기점은 넘겨야지 화이팅!,0
7점은 되는 거 같은데 그래서 10,1
정신없이 웃다왔다ㅋㅋ 두번 보세요,1
강동원 강동원 한효주 한효주 정우성 강동원 정우성 한효주 강동원 한효주 한효주 .. 영상미 굿. 액션 굿. 멜로 뭥미. 돈주고 보기 아까운 영화였음. 그래도 영상미 액션 줄거리 등장인물등 럭키니깐7.5 나만 죽을순 없지.,1
솔직히 천만까진 아니다.,0
정말 정말 재미있어요최근들어 최고입니다스토리도 케스팅도 딱딱!! 맞아떨어져요,1
강동원씨.. 영화 고르는 눈을 키워주세요..,0
이정도 코미디면 다소 무리한 설정이나 전개도 눈감아 줄 만 하다. 킬링타임으로 적절한 오락영화.,1
쓰레기.. 내가 돈주고 본 영화중 최악 top10,0
0점은 왜 없냐....,0
일단 믿고 보는 김지운 감독!,1
그저 그런 코미디 영화. 잠복수사로 치킨집을 영업한다는 소재로 예상되는 스토리를 그대로 보여준다. 영화의 개연성이나 빵빵 터지는 웃음을 기대한다면 보지 말기를. 가끔 피식 터지는 정도의 웃음.,1
중간까진 그냥 그랬음 마지막쯤 웃음터짐,1
근데  내가 본  바로도 확실히 망할 영화 맞네요...,0
염력도피했고. 리얼도 피했는데..이걸 못피했다 ...후미..강동원.일준다고 다하지말고좀고르지?골라.하는거마다 망작이냐,0
예고편에서 배꼽잡고 본편에선 코웃음,1
ㅋㅋㅋ한효주씨 나오네요,0
"실관람했는데 개존잼,빅잼! 알바아님ㅎㅎ",1
한국 코미디 영화 완성도 높은 영화로 추천합니다.,1
정말 너무 재미있어요~ 핵꿀잼!!다시 한번 더 보고 싶어요~~,1
배우보는 재미로봤네요,1
오랜만에 웃었습니다!! ㅋㅋ 감사합니다.,1
유치뽕짝 꿀잠자다가 왔습니다어디서 봤단 영화들 짬뽕한 느낌,0
이게 왜 천만이죠???,0
좋아요 좋아 ㅋㅋㅋ 지금까지 이런맛은 없었다 ㅋㅋㅋ,1
가족과함께봐서 더 재밌고 좋았어요,1
그럭저럭 재밌게 봤는데 난민 받으라는 모 배우 때문에 별 2개 준다^^,0
보는동안 계속 웃었습니다 진짜 꿀잼~~~1000만 가즈아~,1
ㅋㅋㅋㅋ간만에 개꿀잼이었음,1
이 영화는 천만을 무조건 넘깁니다,1
내용도 좋고 강동원연기좋았어요평점이 안좋아서 기대를안해서인지 몰라도 어느순간끝나는자막이올라오네요,1
연기도 좋고 내용도 너무 좋네요~,1
너무재밌게 봤어요!!! 강추합니다~~♡웃다가 눈물흘렸어영..ㅋㅋㅋㅋ,1
ㅋㅋㅋ 굿 배터댄 굿 ㅋㅋㅋ,1
이 영화에 난민이 나오나? ㅉㅉ,0
가족들과 보기 좋았어요,1
처음부터 끝까지 재미있어요,1
여기도 여론 조작단 뭐 이런 거 있나요? 영화 재밌습니다. 평점 1점 이런 말 믿지 마세요.,1
